"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPAG16-DT",156.36707875297,0.829472915368226,0.0949001874846751,8.74047709865877,2.32128031749004e-18,5.5268578987858e-17
"PYGB",158.152306093062,0.987973886259434,0.0924720966235263,10.6840216923132,1.20917160746474e-26,1.20917160746474e-23
"SUMO2P18",154.407538663373,0.880988621554945,0.0923869818717607,9.5358523864089,1.48659243794547e-21,1.00554424758586e-19
"LOC108491827",151.487876973223,0.770896162055873,0.0931527144616644,8.27561672798192,1.27792437113468e-16,2.66234243986392e-15
"HCG4B",152.869920987478,0.805184163326053,0.0924764594094208,8.70690950397725,3.12272216434346e-18,7.26214456824061e-17
"LINC01940",157.485068002309,0.858480440604162,0.0920648825921918,9.32473291045039,1.112634679614e-20,4.27936415236152e-19
"HMGB3P24",160.066103524278,0.825428637181788,0.0881462486936749,9.36430817436499,7.65501318568463e-21,3.32826660247158e-19
"LOC101060084",162.301633814399,0.8438975222962,0.0884271278931586,9.54342340866066,1.3819349453386e-21,1.00554424758586e-19
"TSPY19P",141.877931493163,0.855865209659155,0.104773796911235,8.16869517847337,3.11742726111306e-16,6.36209645125114e-15
"LEF1-AS1",153.956834582995,0.888329604647727,0.09340158267979,9.5108624410916,1.8908829431213e-21,1.18180183945081e-19
"RNU1-138P",154.101922732078,0.836423569619107,0.0915472310205327,9.13652505154973,6.44912914164691e-20,2.01535285676466e-18
"RNF6P1",157.269142339832,0.886323357737629,0.0903080381910008,9.81444592853476,9.75725251810028e-23,1.95145050362006e-20
"LOC124900900",147.498762470714,0.862217408231846,0.0973844206370828,8.8537509654139,8.46260934093647e-19,2.22700245814118e-17
"LOC124905728",157.879205562761,0.895186468907277,0.0901667119527458,9.92812590722419,3.14103393453012e-23,7.85258483632531e-21
"LOC122152320",156.787482065053,0.814062268633437,0.0926174530035732,8.78951258357354,1.50210223710152e-18,3.66366399293054e-17
"LYST",144.14632221962,0.921238916084294,0.0993503675519102,9.27262715563634,1.81616368273677e-20,6.72653215828435e-19
"DENND11",154.06387996871,0.849098941395484,0.0924365308757255,9.1857508427814,4.08666211286031e-20,1.36222070428677e-18
"LOC126807077",160.331322505493,0.85488137837971,0.0899664654634588,9.50222256677331,2.05457491022018e-21,1.20857347660011e-19
"LOC124908711",155.523954366104,0.902155181278119,0.0923509475613138,9.76877016534302,1.53301615336381e-22,2.48158995205043e-20
"LOC730100",156.166739962351,0.787176642041616,0.0911174028968185,8.63914704563096,5.66342446021903e-18,1.28714192277705e-16
"SFR1",147.777939388769,0.913187601587622,0.0953957261706352,9.57262592617823,1.04224232551179e-21,9.47493023192534e-20
"RPS15AP27",142.884997649791,0.857880862030722,0.0993866782673552,8.63174901291076,6.04208528139357e-18,1.34268561808746e-16
"LOC124433248",150.762243694994,0.869056603991716,0.0930237981551384,9.34230402571142,9.4260195266152e-21,3.80004247557328e-19
"LOC100131126",150.199777193078,0.82398257902447,0.146633730602061,5.6193249373203,1.91705013514794e-08,3.83410027029589e-07
"LOC113687182",147.178468025889,0.918564032243092,0.0970680902116923,9.46308957186475,2.98976096630003e-21,1.5735584033158e-19
"LOC105369617",152.303100293736,0.828063092660458,0.0916917583280305,9.03094354127263,1.70197888324985e-19,4.72771912013847e-18
"LOC121627964",165.512594293717,0.837554075917907,0.0869314446629487,9.63465037496246,5.70859973751408e-22,7.1357496718926e-20
"HMGB3P25",156.338271221916,0.859650847353902,0.0950178268356305,9.04725856171175,1.46602588987777e-19,4.31184085258169e-18
"ATF3",159.960561150571,0.832361212781233,0.091536733223032,9.09319333860386,9.61720260376021e-20,2.91430381932127e-18
"FAUP4",157.260998525993,0.930661019708639,0.0921693038258767,10.0972990038724,5.67846380277048e-24,2.83923190138524e-21
"LOC105378178",151.820683452886,0.811455484276102,0.0955846028554743,8.48939536321595,2.07714941295653e-17,4.41946683607772e-16
"MIR548XHG",153.155866703038,0.809278610225962,0.0919249866061271,8.80368483156266,1.32395850250779e-18,3.30989625626947e-17
"VAPA",151.325326757504,0.877118788541383,0.0928232554931742,9.44934309706346,3.40963737737919e-21,1.62363684637104e-19
"LOC124901996",152.838294754448,0.904019869471722,0.0943801503072395,9.57849575921239,9.84685699776338e-22,9.47493023192534e-20
"ERMN",97.9642062455874,0.00260090312038063,0.114465517680674,0.0227221539995686,0.981871904060404,0.999943348908314
"NONOP1",105.099148050792,-0.0380482535384274,0.113247238879716,-0.3359751099878,0.736889635939358,0.999943348908314
"COD2",105.627162767261,0.0200662541588652,0.115681931249594,0.173460573679137,0.86228941571192,0.999943348908314
"LOC105369531",102.350159570657,-0.0290679506168049,0.110590738772199,-0.262842539434343,0.792671946222514,0.999943348908314
"OR6B2",109.101725446357,0.00558928849649784,0.112520542359089,0.0496734940955105,0.960382579023591,0.999943348908314
"MUC19",104.203383629775,-0.0444157236560793,0.110355110500089,-0.402479988962936,0.687330812579575,0.999943348908314
"LOC105377587",101.168571260721,-0.00622784942145043,0.115616829540874,-0.0538662878594912,0.95704169604392,0.999943348908314
"RAD51AP1",111.314889747419,-0.0336161662409995,0.113075932121494,-0.297288429202428,0.766246314699489,0.999943348908314
"LOC100422402",103.322950061309,0.00468592179340046,0.109650997254711,0.0427348762046862,0.965912877763545,0.999943348908314
"LOC122056777",109.06686830678,0.0398087153713682,0.108906007142436,0.365532778364586,0.714713743457603,0.999943348908314
"RPL12P50",105.399942037304,-0.0282616090793175,0.116442114092606,-0.242709515363497,0.808230435640123,0.999943348908314
"LOC121627848",101.659810476719,-0.0300841508546583,0.111968450113244,-0.268684176875104,0.788172729203413,0.999943348908314
"LOC124902500",107.898278332948,-0.0205355399665322,0.109205582149782,-0.188044782714189,0.85084154579104,0.999943348908314
"LOC101928842",111.300561906067,-0.00526422625408576,0.111984891477547,-0.0470083614372324,0.962506563434354,0.999943348908314
"ELF1",107.452535091841,-0.0567668731248798,0.112091038497674,-0.506435428609736,0.612551008635456,0.999943348908314
"GSTA1",105.241638585054,-0.00862081470146631,0.110316147337402,-0.0781464446460369,0.93771156264281,0.999943348908314
"RP6",106.265794468099,-0.0354446110347909,0.108643040026475,-0.326248336075219,0.744236473312324,0.999943348908314
"PTPRB",112.631660784251,-0.0161213236547781,0.111318092418492,-0.14482213362201,0.884851306350885,0.999943348908314
"LOC105371197",112.188871762633,-0.0330551507716939,0.112829742951096,-0.292964868191016,0.769549005194542,0.999943348908314
"LOC107986081",105.324092888639,-0.0551296498943539,0.1124987810807,-0.490046641970346,0.624100894199763,0.999943348908314
"LOC124906012",104.79515460838,-0.0212313246529925,0.109192424848649,-0.194439538112842,0.845831733691561,0.999943348908314
"RTF1",107.173906459612,-0.00538325702268926,0.115431914006316,-0.0466357771941191,0.962803516962822,0.999943348908314
"HTR5BP",109.053307177693,0.0162597998332168,0.109533184003032,0.148446335977658,0.881990534298744,0.999943348908314
"LOC101929053",106.111073349854,-0.051303200609683,0.108609573995474,-0.47236351936912,0.63666733874224,0.999943348908314
"MIR133A1HG",108.745115723381,-0.0146435325692269,0.110748299410741,-0.132223543360402,0.894807479701863,0.999943348908314
"LOC107986578",107.368787588477,-0.0113396870231556,0.110388738190395,-0.102725035262178,0.918181203487277,0.999943348908314
"LOC100113374",110.972227942304,-0.0198872839172559,0.111192375896036,-0.178854743924622,0.858051758812417,0.999943348908314
"LOC105378647",114.404392434774,-0.0602219235271621,0.106912321085249,-0.56328328592869,0.573241997596018,0.999943348908314
"LOC101927040",103.724008943529,0.00355390295095854,0.109691474871972,0.0323990807408372,0.974153795567098,0.999943348908314
"PRDX3P3",105.915451066429,-0.032011648515285,0.112068306600329,-0.285644081599704,0.775150737228014,0.999943348908314
"LOC121725190",104.223949100878,0.00494009351258977,0.109673244776629,0.0450437435552421,0.96407244200339,0.999943348908314
"MTHFD1P1",108.394895718592,-0.0534903422345041,0.109700808673448,-0.48760207769964,0.625831723616272,0.999943348908314
"DUSP11",107.985257756339,0.00575571699492267,0.110254169067079,0.0522040757608075,0.958366085376501,0.999943348908314
"LOC100132817",108.853161580849,-0.0123384136242832,0.109930555965467,-0.112238253649504,0.910634498754324,0.999943348908314
"LOC105373522",120.448758763536,-0.0235388255182199,0.101524244692827,-0.231854229395543,0.816651235489878,0.999943348908314
"LOC124907625",113.082074942064,-0.0604491055926888,0.114837942927262,-0.526386175612507,0.598619918906743,0.999943348908314
"SIPA1L1",108.103154293972,-0.0210668848369516,0.117448747862203,-0.179370876407029,0.857646497765966,0.999943348908314
"LOC112441447",107.719486046613,0.0224269102096929,0.112830225082307,0.198766865822815,0.842445116033927,0.999943348908314
"E2F7",117.050396136949,-0.0749282071147558,0.104780685240241,-0.715095601283388,0.474549971801049,0.999943348908314
"AP3M2",107.144889041819,-0.0347987916848803,0.108149135710509,-0.321766710905845,0.747629435027836,0.999943348908314
"LOC105371771",104.325624134903,0.00765622741779969,0.115246746743586,0.0664333496097213,0.947032819689951,0.999943348908314
"LOC113174978",116.197908437892,-0.0588595246637987,0.106727210941289,-0.551495013733449,0.581294383872992,0.999943348908314
"LOC124901104",112.604145912398,-0.00575789073998433,0.108750039962002,-0.0529461022910537,0.957774851569284,0.999943348908314
"MIR8080",104.97205425017,-0.0405748471153636,0.111063195077037,-0.365331171025824,0.714864212944677,0.999943348908314
"LOC124907945",104.351697666504,0.00193562248400225,0.111584300629382,0.0173467277482991,0.986160007848945,0.999943348908314
"LOC107987340",116.057753086513,-0.0238757449764321,0.10277541761048,-0.232309880431928,0.816297338867069,0.999943348908314
"EFHD2-AS1",112.045003214635,-0.0428613030163551,0.108579849527045,-0.394744542408665,0.693031426618238,0.999943348908314
"LOC105370619",113.171943899562,-0.0250184535304894,0.111029784657515,-0.225331010121852,0.821721777320308,0.999943348908314
"HMGB1P51",120.506046588703,-0.0213519807382194,0.100947969035232,-0.211514713394257,0.832485652293581,0.999943348908314
"LOC121725194",104.982876034391,-0.0162523143881507,0.111779943877611,-0.145395621292721,0.884398521631764,0.999943348908314
"LOC124907894",114.639262167782,0.0118550726493095,0.105556081569425,0.112310654895922,0.910577093870397,0.999943348908314
"LOC123575602",112.016815147761,0.0188537912079345,0.116699702883238,0.161558176603058,0.871653794774231,0.999943348908314
"LOC107985096",108.637833608416,-0.0301588746058057,0.110904885318673,-0.271934590790546,0.785672313486938,0.999943348908314
"UPK3BL2",123.356223037917,-0.0366345740363116,0.0981546932543539,-0.373233034729968,0.708975011511819,0.999943348908314
"LOC650226",110.328483101518,-0.0314990287139559,0.114482650529715,-0.275142378065225,0.783206854537921,0.999943348908314
"LOC105374088",101.311831449268,-0.00932564377110399,0.113567777418719,-0.0821152265463535,0.934555084982741,0.999943348908314
"MIR1244-2",111.907200773013,-0.0297201264166654,0.109097250360578,-0.272418656917907,0.785300128835783,0.999943348908314
"CCNP",103.387830094109,-0.0120546784703223,0.111071302967622,-0.108530989987902,0.913574499239211,0.999943348908314
"LOC105374942",105.144462677716,0.0546108077954496,0.117707426727609,0.463953798954644,0.642680846972223,0.999943348908314
"LOC105376634",108.531691178732,0.0255459321278205,0.114291849636867,0.223514906872067,0.823134782569852,0.999943348908314
"LOC110121151",102.376757450561,-0.00953271236485102,0.113679860620576,-0.0838557710469747,0.933171105238872,0.999943348908314
"ASCL5",109.498508700342,-0.0242156617195762,0.11099839280766,-0.218162273408206,0.82730267854593,0.999943348908314
"LOC105375130",106.520504226639,0.00170489929721106,0.114306569744119,0.0149151470560928,0.988099875663615,0.999943348908314
"POLA1",114.386080966017,-0.00500688127508271,0.10666814590309,-0.0469388610132171,0.962561955603941,0.999943348908314
"KRT8P7",115.201984994742,-0.0120503141277855,0.107082571987602,-0.112532916459838,0.910400871930892,0.999943348908314
"OSTCP2",112.503344743667,-0.0643683489035474,0.121883425095102,-0.52811404711775,0.597420181716355,0.999943348908314
"RN7SKP219",114.348530014149,-0.0501884643482375,0.11325021401788,-0.443164410623665,0.657646819007387,0.999943348908314
"PDCD6",104.846767305316,-0.00198430890579211,0.109073808237795,-0.01819235009624,0.985485405366821,0.999943348908314
"LOC105372042",108.433978301887,-0.0350570037212714,0.110187168792603,-0.318158675873201,0.750364577180103,0.999943348908314
"LOC124906372",103.466168174334,0.0572199586386721,0.113509203058748,0.50409973021357,0.614191296510628,0.999943348908314
"LOC124901151",103.875521861116,0.0446407523311944,0.112535241343215,0.396682424086575,0.691601662622272,0.999943348908314
"LOC122128413",115.863291934777,-0.0334798817951201,0.114614791595338,-0.292107862598792,0.770204155249383,0.999943348908314
"MIR3648-2",118.147601060281,-0.0477233568094967,0.101144091917797,-0.471835338126158,0.637044325171823,0.999943348908314
"AFAP1-AS1",105.429614445229,-0.0524567047279853,0.110895233531604,-0.4730293905106,0.636192210935666,0.999943348908314
"CWC15",116.635980878877,-0.0422698757260891,0.1026741968113,-0.411689373171091,0.680567115017543,0.999943348908314
"ZNF860",105.943430223233,-0.00225764227560759,0.107910663456412,-0.0209214011228791,0.983308354732074,0.999943348908314
"LOC126807461",106.680334738277,-0.0472127600717264,0.108210140170875,-0.4363062463201,0.662614550514387,0.999943348908314
"EMC8",115.831788675926,-0.045559329005814,0.106177515460246,-0.429086410699373,0.667860341359036,0.999943348908314
"CDKN2D",105.590290362264,-0.0176420432946044,0.108527428796094,-0.162558382616353,0.87086615689916,0.999943348908314
"WHAMMP3",107.049723506998,-0.0614507327858023,0.111194503958025,-0.552641817701706,0.580508701161698,0.999943348908314
"LOC101928651",115.456962820899,-0.0274242410402085,0.109204127264062,-0.251128246956225,0.801714957607394,0.999943348908314
"LOC112136080",111.714846947946,-0.00626603051840187,0.109445905354224,-0.0572523064990116,0.954344211894951,0.999943348908314
"RXYLT1",114.913185942711,-0.0362991579161856,0.104240749358416,-0.34822426104571,0.727671768965526,0.999943348908314
"LOC105374053",108.359144671262,-0.0136525328724954,0.109753686113185,-0.124392476972628,0.901004529592671,0.999943348908314
"LOC124900705",104.889095356178,0.0113445898732959,0.109145771284382,0.103939802154472,0.917217120602165,0.999943348908314
"NPM1P24",100.415285573409,-0.0154454004879815,0.119079033894942,-0.129707136368005,0.896798136264614,0.999943348908314
"LOC100420547",109.795250079711,0.00106514868385975,0.108353087195521,0.0098303491984286,0.992156642472286,0.999943348908314
"FXR1",106.190633736964,0.0404544922463203,0.111996320458011,0.361212690567697,0.717940455985558,0.999943348908314
"TCEAL8P1",108.771533719621,-0.0385157080402476,0.111948033120614,-0.344049886064102,0.730808769857454,0.999943348908314
"RNA5SP120",98.6321582043053,0.0153353654081298,0.120407816095047,0.127361876541506,0.898653988577247,0.999943348908314
"LOC124906417",109.734145195056,-0.0588401957998609,0.111113225584136,-0.529551684693974,0.596422800601476,0.999943348908314
"LOC102724410",104.94578424759,-0.0597639411629558,0.11436598795408,-0.52256743663118,0.601275306168397,0.999943348908314
"HIF1A-AS3",110.937077232948,0.0191001437888242,0.117961402158457,0.161918588956472,0.871369964114448,0.999943348908314
"LOC121053178",109.736136259011,-0.0298908264660073,0.116969412946081,-0.255543955579104,0.798302998578485,0.999943348908314
"LOC105378116",110.838707774002,0.0113763030396873,0.109820664932977,0.10358982115643,0.917494865743643,0.999943348908314
"LOC124901631",106.638132662112,0.0470382688491365,0.112848691671173,0.416826000838363,0.67680568281689,0.999943348908314
"LOC105374307",103.380119634484,-0.0369527099178979,0.109369495328486,-0.337870352303558,0.73546089048757,0.999943348908314
"RNU6-90P",114.122037758428,-0.0345833386258895,0.10595999359003,-0.326381093978695,0.744136039874791,0.999943348908314
"LINC01496",106.678874357096,0.0172212241410387,0.116254164551918,0.148134255726795,0.882236815507111,0.999943348908314
"LOC124900456",111.702173762308,-0.0523341390314593,0.108926371882876,-0.480454256639815,0.630904422232136,0.999943348908314
"LOC107985186",104.381924077521,-0.0393603081778118,0.110745668010695,-0.355411718443114,0.72228117114788,0.999943348908314
"LOC124909035",100.853554233882,0.0403581485952532,0.120019129434589,0.33626430041095,0.736671568190101,0.999943348908314
"CCDC159",107.160013064543,-0.0161938382493547,0.10902939173039,-0.148527273172349,0.881926663775412,0.999943348908314
"TTC39CP1",107.61360313128,0.0254066223622903,0.108402626729233,0.234372755798166,0.814695607397269,0.999943348908314
"GLCE",110.091232020087,-0.072504235415657,0.110934327286287,-0.653577996903934,0.513383723809163,0.999943348908314
"RN7SL796P",112.759839596133,-0.0367287741122048,0.116794172767736,-0.314474371810019,0.753160778201549,0.999943348908314
"ERVK-31",117.575864265617,-0.0514270080268828,0.103749781240668,-0.495683050237837,0.620118047568705,0.999943348908314
"HERPUD2",102.919453586631,-0.0193222714955423,0.118832142830373,-0.162601389113415,0.870832293196039,0.999943348908314
"LOC123477762",111.096310549725,-0.0512280311117721,0.10919765929225,-0.469131219879616,0.638975844750648,0.999943348908314
"TOB2P1",107.86683365692,-0.01515599994065,0.1120345749531,-0.135279666540392,0.892390761034921,0.999943348908314
"PPIAP48",111.460029619677,-0.0184944224413374,0.108028220210601,-0.171199917996265,0.864066571972394,0.999943348908314
"CYP2D7",113.922654594113,-0.0115760298427148,0.111426376947793,-0.10388949331215,0.917257045110271,0.999943348908314
"RNU6-204P",115.094782375301,-0.0317131683518856,0.105076861710885,-0.301809245494438,0.762797482460371,0.999943348908314
"ROR1-AS1",110.926258510155,-0.0611556816937347,0.107700169219609,-0.567832735425266,0.570148549476757,0.999943348908314
"HNRNPA1P54",108.279878644764,0.0132015816214431,0.114842720897465,0.114953577538709,0.908481917790279,0.999943348908314
"DEL2P21",107.986141761503,0.0405225252642792,0.11149421055416,0.363449591354296,0.71626906221949,0.999943348908314
"LOC126806458",107.879528315666,-0.0152050102786773,0.11174895871057,-0.13606399964816,0.891770686919734,0.999943348908314
"PHA2A",105.8598171226,-0.0399474295606177,0.109246401471109,-0.365663573561113,0.714616130490119,0.999943348908314
"NDUFA12",105.557194242336,-0.00665005271690987,0.108886257179553,-0.0610733887743426,0.951300762259764,0.999943348908314
"LOC105369540",112.536774584162,-0.0592439532298258,0.118809968909853,-0.498644632040742,0.618029756735544,0.999943348908314
"LOC124903089",104.207522629963,-0.0443765586072531,0.114934340477174,-0.386103565070408,0.699419969643887,0.999943348908314
"LOC123744840",110.476353076715,-0.00308177753902329,0.123204365081279,-0.0250135418253259,0.980044162173977,0.999943348908314
"LOC105370839",105.845734347373,-0.00471422452424177,0.108093043672437,-0.0436126540994411,0.965213164783329,0.999943348908314
"RNA5SP510",112.369465533835,0.0507816098794309,0.112011840650261,0.45335930187942,0.650290037230405,0.999943348908314
"RBM3",107.397715816681,-0.0218969305758341,0.112682438642506,-0.194324251761217,0.845921997404882,0.999943348908314
"UROD",103.676337980093,-0.0101739207541873,0.114501937741197,-0.0888536993774106,0.929198180486797,0.999943348908314
"LINC00654",101.689300490138,-0.0299543268416333,0.123500425843176,-0.242544320289795,0.808358419194738,0.999943348908314
"LOC100288935",105.001386894923,-0.0215731834130879,0.111083899855791,-0.194206212071185,0.846014418946026,0.999943348908314
"ABRACL",111.671044035749,-0.0137728757811681,0.114018923927671,-0.120794647999879,0.903853689341253,0.999943348908314
"CHAD",106.986244213514,0.00303369713028867,0.111223848277348,0.0272755994085356,0.978239918477694,0.999943348908314
"LOC105372141",108.868203304225,0.016689109334136,0.11183465529229,0.149230212142358,0.881371981062615,0.999943348908314
"C1orf198",111.246008188993,0.0103563982751274,0.110111981267895,0.0940533278565839,0.925066794939088,0.999943348908314
"RPL27AP8",105.776089348817,0.0414486997456813,0.10928099288957,0.379285534013821,0.704475840752673,0.999943348908314
"LOC124906674",108.196876496866,-0.0531424714746334,0.108632663684165,-0.489194222735235,0.624704199280051,0.999943348908314
"DNM1P29",105.800196928053,-0.018171395459329,0.109608985347678,-0.165783812355251,0.86832708569963,0.999943348908314
"LOC107985002",112.680706347985,-0.077313691299633,0.109104436652183,-0.708620966039203,0.478559722023952,0.999943348908314
"OR7E103P",106.974575477096,0.0139104337986125,0.109812257743975,0.126674690825903,0.899197878234244,0.999943348908314
"MIR5701-3",110.007565787816,0.000681879707216431,0.110720260916808,0.00615858110855404,0.995086194278955,0.999943348908314
"LOC121853029",110.424577962997,-0.0343272352256958,0.11102869890023,-0.309174434769717,0.757188839943079,0.999943348908314
"FAM66D",115.387915627709,-0.0621692479774519,0.105400132352078,-0.589840321734912,0.555297707073609,0.999943348908314
"LOC124902352",113.649756971108,0.026865356561324,0.11319344460443,0.237340215727233,0.812392865587722,0.999943348908314
"LOC124908200",115.710655754171,-0.0328698087311832,0.106971813508683,-0.307275418197103,0.758633744642642,0.999943348908314
"LINC00515",105.500857460299,-0.0201405020792425,0.108975491945053,-0.184816803482728,0.853372727632025,0.999943348908314
"MTND4LP10",114.295892568345,-0.0300725733698019,0.108653371663806,-0.27677533526389,0.781952621196208,0.999943348908314
"TBRG4",105.072656716769,0.0408385995774938,0.109662710323965,0.372401880792922,0.709593653797513,0.999943348908314
"RNA5SP285",109.227019552157,-0.00262935722878318,0.115549605837038,-0.0227552245612281,0.981845524390499,0.999943348908314
"RNU6-73P",106.092222622722,0.0323821274125636,0.109647729065235,0.295328755904262,0.767742751603605,0.999943348908314
"GLRX",115.481173766279,-0.000272975473208973,0.104944069348645,-0.00260115197460177,0.997924583339539,0.999943348908314
"LOC126653368",105.202509842801,-0.0221573579883127,0.110648439723531,-0.200250071701649,0.841285008590789,0.999943348908314
"LOC126806439",113.170527118535,-0.00216995489399189,0.112798886575527,-0.0192373786645397,0.984651739251462,0.999943348908314
"FNDC3CP",113.192105505507,-0.0301550105588934,0.108207608385231,-0.278677359280857,0.780492439120227,0.999943348908314
"LOC107985216",108.607269555749,0.00429266809089794,0.111886183957697,0.0383663821488535,0.969395564396204,0.999943348908314
"LIM2",110.103658934525,-0.0490934267140629,0.110649221725118,-0.443685241962425,0.65727016684576,0.999943348908314
"UPK3BL3P",111.629357039506,-0.0137716810389646,0.10872686325793,-0.126663095267399,0.899207056224739,0.999943348908314
"LOC654780",106.782575727385,-0.0205603264303532,0.109919892090902,-0.187048277061172,0.851622781235282,0.999943348908314
"LOC124906782",108.352986291816,-0.0374529683953224,0.107963040837606,-0.346905460468252,0.728662344246733,0.999943348908314
"NPHP4",107.376539149551,0.00735871351056388,0.109055413887426,0.0674768289647682,0.946202107783159,0.999943348908314
"LOC105372399",114.821578170557,-0.0610934629859119,0.107586088460511,-0.567856531082415,0.57013239030216,0.999943348908314
"TP53TG3E",104.431222933873,0.00454001861190747,0.110396419409466,0.0411246907842936,0.967196490851456,0.999943348908314
"LOC105375571",109.589005984996,-0.0218800699984553,0.107862820231085,-0.202850898498477,0.839251573611261,0.999943348908314
"LOC124907219",108.710090501748,0.0248344726784204,0.115955928741249,0.214171650798792,0.83041320253818,0.999943348908314
"LOC339902",112.728704486913,-0.013774331950273,0.110420104848592,-0.124744782385059,0.900725603061258,0.999943348908314
"LOC121725099",111.711694570507,-0.0344350002036365,0.108694136369735,-0.316806419865208,0.751390492602934,0.999943348908314
"SNORA3A",110.196723968517,-0.0286077927646227,0.109698186884608,-0.260786377396697,0.794257250297785,0.999943348908314
"LOC105371689",112.503939811169,-0.0539597900915845,0.10846886575835,-0.49746800350801,0.618859060912719,0.999943348908314
"CYP51A1",113.566610342128,-0.0258876512795397,0.106821339247837,-0.242345316598938,0.808512602512935,0.999943348908314
"CCNYL1",101.741473017952,-0.0471521984073541,0.116113663473324,-0.406086562053802,0.684678999068565,0.999943348908314
"TSPY8",100.825039544657,-0.0538458331914721,0.117849865922481,-0.456901946981347,0.647741524509884,0.999943348908314
"LOC110091768",103.806203835709,0.00606192368882836,0.109593410046593,0.0553128485211947,0.955889226198113,0.999943348908314
"LOC105377369",107.853042316647,0.0196113525812875,0.112330495265932,0.174586184587359,0.861404804955767,0.999943348908314
"LOC124903010",105.519799193927,0.00434397303616881,0.110203803064344,0.0394176327438766,0.968557421937441,0.999943348908314
"LOC124902240",109.086430316347,0.0108219478552878,0.116858598287729,0.0926072023270551,0.92621562171105,0.999943348908314
"LOC107987299",111.179361460549,0.05427667777127,0.110736146710938,0.490144179505832,0.624031877453507,0.999943348908314
"PDCD4",113.934730880317,0.00618056580213569,0.113600206165851,0.0544062903645822,0.956611467293505,0.999943348908314
"LOC122128443",110.708959054199,0.0069773007799082,0.123935578709795,0.0562978028790757,0.955104569109311,0.999943348908314
"GZMB",105.70142253954,-0.0261685375633366,0.109356680619482,-0.239295280499532,0.810876624737006,0.999943348908314
"TUBB8P10",105.226454255633,-0.0820629893434926,0.10965878788633,-0.748348499242555,0.454249977954218,0.999943348908314
"TPSG1",108.090053472574,-0.0210793455972891,0.110771286906652,-0.190296115409879,0.849077097489675,0.999943348908314
"LOC105370104",108.016471030329,0.024226870199884,0.108953468568947,0.222359788248073,0.824033812553819,0.999943348908314
"LOC105377196",110.59853486219,0.0222458946095011,0.112484608472544,0.197768342812262,0.843226315709489,0.999943348908314
"LOC124905841",115.609785461864,-0.0129804790841673,0.104843592167836,-0.123808034575808,0.90146727009251,0.999943348908314
"LOC105371279",114.532588490988,-0.0451742400541924,0.161604662575155,-0.279535499374494,0.77983389877672,0.999943348908314
"POLR1E",109.578482044908,-0.0218601021690665,0.110399928760605,-0.198008299592916,0.843038570161535,0.999943348908314
"ZNF136",111.845225183085,-0.0194918437798324,0.110718598560506,-0.17604850524892,0.860255835812385,0.999943348908314
"MIR12116",104.172340043244,-0.00857786139377745,0.111303758693484,-0.0770671313751385,0.938570140572043,0.999943348908314
"RPL14P3",108.507092619964,-0.0218565568579592,0.119482340675157,-0.182927089764519,0.854855226966498,0.999943348908314
"KCTD6",112.213884285844,-0.0331475572042309,0.117253722870108,-0.282699400862105,0.77740727556319,0.999943348908314
"LOC124310631",109.417909061361,-0.00316049475228581,0.108117642988695,-0.0292319982652256,0.976679561206998,0.999943348908314
